public       line 1 cols 1-6 is T_Public 
class        line 1 cols 8-12 is T_Class 
ChainedExpr  line 1 cols 14-24 is T_Identifier 
{            line 1 cols 26-26 is T_LeftBrace 
void         line 2 cols 5-8 is T_Void 
main         line 2 cols 10-13 is T_Identifier 
(            line 2 cols 14-14 is T_LeftParen 
)            line 2 cols 15-15 is T_RightParen 
{            line 2 cols 17-17 is T_LeftBrace 
boolean      line 4 cols 9-15 is T_Bool 
b            line 4 cols 17-17 is T_Identifier 
=            line 4 cols 19-19 is T_Equal 
(            line 4 cols 21-21 is T_LeftParen 
(            line 4 cols 22-22 is T_LeftParen 
i            line 4 cols 23-23 is T_Identifier 
+            line 4 cols 25-25 is T_Plus 
4            line 4 cols 27-27 is T_IntConstant (value = 4)
)            line 4 cols 28-28 is T_RightParen 
/            line 4 cols 30-30 is T_Slash 
(            line 4 cols 32-32 is T_LeftParen 
k            line 4 cols 33-33 is T_Identifier 
*            line 4 cols 35-35 is T_Star 
2            line 4 cols 37-37 is T_IntConstant (value = 2)
)            line 4 cols 38-38 is T_RightParen 
-            line 4 cols 40-40 is T_Dash 
d            line 4 cols 42-42 is T_Identifier 
)            line 4 cols 43-43 is T_RightParen 
==           line 4 cols 45-46 is T_EQ 
(            line 4 cols 48-48 is T_LeftParen 
d            line 4 cols 49-49 is T_Identifier 
*            line 4 cols 51-51 is T_Star 
k            line 4 cols 53-53 is T_Identifier 
)            line 4 cols 54-54 is T_RightParen 
;            line 4 cols 55-55 is T_Semicolon 
b            line 5 cols 9-9 is T_Identifier 
=            line 5 cols 11-11 is T_Equal 
(            line 5 cols 13-13 is T_LeftParen 
(            line 5 cols 14-14 is T_LeftParen 
i            line 5 cols 15-15 is T_Identifier 
+            line 5 cols 17-17 is T_Plus 
4            line 5 cols 19-19 is T_IntConstant (value = 4)
)            line 5 cols 20-20 is T_RightParen 
/            line 5 cols 22-22 is T_Slash 
(            line 5 cols 24-24 is T_LeftParen 
k            line 5 cols 25-25 is T_Identifier 
*            line 5 cols 27-27 is T_Star 
2            line 5 cols 29-29 is T_IntConstant (value = 2)
)            line 5 cols 30-30 is T_RightParen 
-            line 5 cols 32-32 is T_Dash 
d            line 5 cols 34-34 is T_Identifier 
)            line 5 cols 35-35 is T_RightParen 
!=           line 5 cols 37-38 is T_NE 
(            line 5 cols 40-40 is T_LeftParen 
d            line 5 cols 41-41 is T_Identifier 
*            line 5 cols 43-43 is T_Star 
k            line 5 cols 45-45 is T_Identifier 
)            line 5 cols 46-46 is T_RightParen 
;            line 5 cols 47-47 is T_Semicolon 
b            line 6 cols 9-9 is T_Identifier 
+=           line 6 cols 11-12 is T_AddAssign 
(            line 6 cols 14-14 is T_LeftParen 
(            line 6 cols 15-15 is T_LeftParen 
i            line 6 cols 16-16 is T_Identifier 
+            line 6 cols 18-18 is T_Plus 
4            line 6 cols 20-20 is T_IntConstant (value = 4)
)            line 6 cols 21-21 is T_RightParen 
/            line 6 cols 23-23 is T_Slash 
(            line 6 cols 25-25 is T_LeftParen 
k            line 6 cols 26-26 is T_Identifier 
--           line 6 cols 27-28 is T_Dec 
*            line 6 cols 30-30 is T_Star 
2            line 6 cols 32-32 is T_IntConstant (value = 2)
)            line 6 cols 33-33 is T_RightParen 
-            line 6 cols 35-35 is T_Dash 
d            line 6 cols 37-37 is T_Identifier 
)            line 6 cols 38-38 is T_RightParen 
>=           line 6 cols 40-41 is T_GreaterEqual 
(            line 6 cols 43-43 is T_LeftParen 
++           line 6 cols 44-45 is T_Inc 
d            line 6 cols 46-46 is T_Identifier 
*            line 6 cols 48-48 is T_Star 
k            line 6 cols 50-50 is T_Identifier 
)            line 6 cols 51-51 is T_RightParen 
;            line 6 cols 52-52 is T_Semicolon 
}            line 8 cols 5-5 is T_RightBrace 
}            line 9 cols 1-1 is T_RightBrace 
