void         line 1 cols 1-4 is T_Void 
main         line 1 cols 6-9 is T_Identifier 
(            line 1 cols 10-10 is T_LeftParen 
)            line 1 cols 11-11 is T_RightParen 
{            line 1 cols 13-13 is T_LeftBrace 
int          line 3 cols 9-11 is T_Int 
x            line 3 cols 13-13 is T_Identifier 
;            line 3 cols 14-14 is T_Semicolon 
int          line 4 cols 9-11 is T_Int 
y            line 4 cols 13-13 is T_Identifier 
;            line 4 cols 14-14 is T_Semicolon 
int          line 5 cols 9-11 is T_Int 
z            line 5 cols 13-13 is T_Identifier 
;            line 5 cols 14-14 is T_Semicolon 
x            line 7 cols 9-9 is T_Identifier 
=            line 7 cols 11-11 is T_Equal 
x            line 7 cols 13-13 is T_Identifier 
+            line 7 cols 15-15 is T_Plus 
y            line 7 cols 17-17 is T_Identifier 
/            line 7 cols 19-19 is T_Slash 
z            line 7 cols 21-21 is T_Identifier 
;            line 7 cols 22-22 is T_Semicolon 
x            line 8 cols 9-9 is T_Identifier 
=            line 8 cols 11-11 is T_Equal 
x            line 8 cols 13-13 is T_Identifier 
/            line 8 cols 15-15 is T_Slash 
y            line 8 cols 17-17 is T_Identifier 
+            line 8 cols 19-19 is T_Plus 
z            line 8 cols 21-21 is T_Identifier 
;            line 8 cols 22-22 is T_Semicolon 
}            line 10 cols 1-1 is T_RightBrace 
