void         line 1 cols 1-4 is T_Void 
foo          line 1 cols 6-8 is T_Identifier 
(            line 1 cols 9-9 is T_LeftParen 
)            line 1 cols 10-10 is T_RightParen 
{            line 1 cols 12-12 is T_LeftBrace 
int          line 2 cols 3-5 is T_Int 
i            line 2 cols 7-7 is T_Identifier 
;            line 2 cols 8-8 is T_Semicolon 
int          line 3 cols 3-5 is T_Int 
i2           line 3 cols 7-8 is T_Identifier 
;            line 3 cols 9-9 is T_Semicolon 
i            line 5 cols 3-3 is T_Identifier 
*=           line 5 cols 5-6 is T_MulAssign 
2            line 5 cols 8-8 is T_IntConstant (value = 2)
;            line 5 cols 9-9 is T_Semicolon 
i            line 6 cols 3-3 is T_Identifier 
*=           line 6 cols 5-6 is T_MulAssign 
i2           line 6 cols 8-9 is T_Identifier 
;            line 6 cols 10-10 is T_Semicolon 
i            line 8 cols 3-3 is T_Identifier 
/=           line 8 cols 5-6 is T_DivAssign 
3            line 8 cols 8-8 is T_IntConstant (value = 3)
;            line 8 cols 9-9 is T_Semicolon 
i            line 9 cols 3-3 is T_Identifier 
/=           line 9 cols 5-6 is T_DivAssign 
i2           line 9 cols 8-9 is T_Identifier 
;            line 9 cols 10-10 is T_Semicolon 
i            line 11 cols 3-3 is T_Identifier 
+=           line 11 cols 5-6 is T_AddAssign 
1            line 11 cols 8-8 is T_IntConstant (value = 1)
;            line 11 cols 9-9 is T_Semicolon 
i            line 12 cols 3-3 is T_Identifier 
+=           line 12 cols 5-6 is T_AddAssign 
i2           line 12 cols 8-9 is T_Identifier 
;            line 12 cols 10-10 is T_Semicolon 
i            line 14 cols 3-3 is T_Identifier 
-=           line 14 cols 5-6 is T_SubAssign 
1            line 14 cols 8-8 is T_IntConstant (value = 1)
;            line 14 cols 9-9 is T_Semicolon 
i            line 15 cols 3-3 is T_Identifier 
-=           line 15 cols 5-6 is T_SubAssign 
i2           line 15 cols 8-9 is T_Identifier 
;            line 15 cols 10-10 is T_Semicolon 
}            line 16 cols 1-1 is T_RightBrace 
