public       line 1 cols 1-6 is T_Public 
class        line 1 cols 8-12 is T_Class 
AssignmentExpr line 1 cols 14-27 is T_Identifier 
{            line 1 cols 29-29 is T_LeftBrace 
int          line 2 cols 5-7 is T_Int 
i            line 2 cols 9-9 is T_Identifier 
;            line 2 cols 10-10 is T_Semicolon 
boolean      line 3 cols 5-11 is T_Bool 
b            line 3 cols 13-13 is T_Identifier 
;            line 3 cols 14-14 is T_Semicolon 
void         line 5 cols 5-8 is T_Void 
foo          line 5 cols 10-12 is T_Identifier 
(            line 5 cols 13-13 is T_LeftParen 
)            line 5 cols 14-14 is T_RightParen 
{            line 5 cols 16-16 is T_LeftBrace 
int          line 6 cols 7-9 is T_Int 
i2           line 6 cols 11-12 is T_Identifier 
;            line 6 cols 13-13 is T_Semicolon 
boolean      line 7 cols 7-13 is T_Bool 
b2           line 7 cols 15-16 is T_Identifier 
;            line 7 cols 17-17 is T_Semicolon 
i            line 9 cols 7-7 is T_Identifier 
=            line 9 cols 9-9 is T_Equal 
1            line 9 cols 11-11 is T_IntConstant (value = 1)
;            line 9 cols 12-12 is T_Semicolon 
i            line 10 cols 7-7 is T_Identifier 
=            line 10 cols 9-9 is T_Equal 
i2           line 10 cols 11-12 is T_Identifier 
;            line 10 cols 13-13 is T_Semicolon 
b            line 12 cols 7-7 is T_Identifier 
=            line 12 cols 9-9 is T_Equal 
true         line 12 cols 11-14 is T_BoolConstant (value = true)
;            line 12 cols 15-15 is T_Semicolon 
b2           line 13 cols 7-8 is T_Identifier 
=            line 13 cols 10-10 is T_Equal 
b            line 13 cols 12-12 is T_Identifier 
;            line 13 cols 13-13 is T_Semicolon 
}            line 14 cols 5-5 is T_RightBrace 
}            line 15 cols 1-1 is T_RightBrace 
