void         line 1 cols 1-4 is T_Void 
main         line 1 cols 6-9 is T_Identifier 
(            line 1 cols 11-11 is T_LeftParen 
)            line 1 cols 12-12 is T_RightParen 
{            line 1 cols 14-14 is T_LeftBrace 
int          line 2 cols 5-7 is T_Int 
x            line 2 cols 9-9 is T_Identifier 
;            line 2 cols 11-11 is T_Semicolon 
int          line 3 cols 5-7 is T_Int 
y            line 3 cols 9-9 is T_Identifier 
;            line 3 cols 10-10 is T_Semicolon 
for          line 4 cols 5-7 is T_For 
(            line 4 cols 9-9 is T_LeftParen 
x            line 4 cols 10-10 is T_Identifier 
=            line 4 cols 11-11 is T_Equal 
0            line 4 cols 12-12 is T_IntConstant (value = 0)
;            line 4 cols 13-13 is T_Semicolon 
x            line 4 cols 14-14 is T_Identifier 
<            line 4 cols 15-15 is T_LeftAngle 
10           line 4 cols 16-17 is T_IntConstant (value = 10)
;            line 4 cols 18-18 is T_Semicolon 
x            line 4 cols 19-19 is T_Identifier 
++           line 4 cols 20-21 is T_Inc 
)            line 4 cols 22-22 is T_RightParen 
{            line 4 cols 24-24 is T_LeftBrace 
y            line 5 cols 9-9 is T_Identifier 
=            line 5 cols 11-11 is T_Equal 
x            line 5 cols 13-13 is T_Identifier 
;            line 5 cols 14-14 is T_Semicolon 
}            line 6 cols 5-5 is T_RightBrace 
}            line 7 cols 1-1 is T_RightBrace 
